INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;METODOLOGIA;SEXO;AÑO;SEMESTRE;MATRICULADOS 
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;10
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;12
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;10
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;14
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Hombre;2021;1;5
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Hombre;2021;2;4
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Mujer;2021;1;33
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Mujer;2021;2;38
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA FINANCIERA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;6
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA FINANCIERA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;6
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA FINANCIERA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;13
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA FINANCIERA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;4
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;6
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;4
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;2
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;1
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;38
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;37
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;16
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;19
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;MICROBIOLOGÍA;Matemáticas y ciencias naturales;Presencial;Hombre;2021;1;3
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;MICROBIOLOGÍA;Matemáticas y ciencias naturales;Presencial;Hombre;2021;2;4
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;MICROBIOLOGÍA;Matemáticas y ciencias naturales;Presencial;Mujer;2021;1;3
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;MICROBIOLOGÍA;Matemáticas y ciencias naturales;Presencial;Mujer;2021;2;6
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;ARQUITECTURA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;16
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;ARQUITECTURA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;8
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;ARQUITECTURA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;14
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;ARQUITECTURA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;17
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS Y TELECOMUNICACIONES;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;8
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS Y TELECOMUNICACIONES;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;36
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERIA DE SISTEMAS Y TELECOMUNICACIONES;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;17
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERÍA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;11
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERÍA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;6
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERÍA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;9
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;INGENIERÍA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;11
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;TECNOLOGIA EN DESARROLLO DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;2
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;Universidad;Pereira;TECNOLOGIA EN DESARROLLO DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;1
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Hombre;2021;1;37
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Hombre;2021;2;8
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Mujer;2021;1;139
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ENFERMERIA;Ciencias de la salud;Presencial;Mujer;2021;2;23
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;INSTRUMENTACION QUIRURGICA;Ciencias de la salud;Presencial;Hombre;2021;1;4
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;INSTRUMENTACION QUIRURGICA;Ciencias de la salud;Presencial;Hombre;2021;2;5
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;INSTRUMENTACION QUIRURGICA;Ciencias de la salud;Presencial;Mujer;2021;1;24
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;INSTRUMENTACION QUIRURGICA;Ciencias de la salud;Presencial;Mujer;2021;2;19
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;Ciencias de la salud;Presencial;Hombre;2021;1;14
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;Ciencias de la salud;Presencial;Hombre;2021;2;13
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;Ciencias de la salud;Presencial;Mujer;2021;1;6
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;Ciencias de la salud;Presencial;Mujer;2021;2;22
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;OPTOMETRIA;Ciencias de la salud;Presencial;Hombre;2021;1;11
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;OPTOMETRIA;Ciencias de la salud;Presencial;Hombre;2021;2;8
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;OPTOMETRIA;Ciencias de la salud;Presencial;Mujer;2021;1;19
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;OPTOMETRIA;Ciencias de la salud;Presencial;Mujer;2021;2;13
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TERAPIA RESPIRATORIA;Ciencias de la salud;Presencial;Hombre;2021;1;8
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TERAPIA RESPIRATORIA;Ciencias de la salud;Presencial;Hombre;2021;2;9
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TERAPIA RESPIRATORIA;Ciencias de la salud;Presencial;Mujer;2021;1;16
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TERAPIA RESPIRATORIA;Ciencias de la salud;Presencial;Mujer;2021;2;13
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TECNOLOGÍA EN ALIMENTOS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;1
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;TECNICA PROFESIONAL EN PRODUCCIÓN DE ALIMENTOS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;1
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;FISIOTERAPIA;Ciencias de la salud;Presencial;Hombre;2021;1;6
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;FISIOTERAPIA;Ciencias de la salud;Presencial;Hombre;2021;2;12
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;FISIOTERAPIA;Ciencias de la salud;Presencial;Mujer;2021;1;15
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;FISIOTERAPIA;Ciencias de la salud;Presencial;Mujer;2021;2;43
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ODONTOLOGÍA;Ciencias de la salud;Presencial;Hombre;2021;1;6
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ODONTOLOGÍA;Ciencias de la salud;Presencial;Hombre;2021;2;2
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ODONTOLOGÍA;Ciencias de la salud;Presencial;Mujer;2021;1;7
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;Institución Universitaria/Escuela Tecnológica;Pereira;ODONTOLOGÍA;Ciencias de la salud;Presencial;Mujer;2021;2;3
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa De Cabal;TECNOLOGIA EN COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;2
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa De Cabal;TECNOLOGIA EN COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;1
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa De Cabal;TECNOLOGIA EN COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;2
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa De Cabal;BIOLOGIA;Matemáticas y ciencias naturales;Presencial;Hombre;2021;2;2
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa De Cabal;BIOLOGIA;Matemáticas y ciencias naturales;Presencial;Mujer;2021;2;2
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;Institución Universitaria/Escuela Tecnológica;Santa Rosa De Cabal;INGENIERIA DE SISTEMAS;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;2
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICA PROFESIONAL EN PROGRAMACIÓN DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;28
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICA PROFESIONAL EN PROGRAMACIÓN DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;11
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TECNOLOGIA EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO;Ciencias de la salud;Presencial;Hombre;2021;2;4
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TECNOLOGIA EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO;Ciencias de la salud;Presencial;Mujer;2021;1;10
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TECNOLOGIA EN GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO;Ciencias de la salud;Presencial;Mujer;2021;2;5
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICO PROFESIONAL EN PROGRAMACIÓN DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;7
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICO PROFESIONAL EN PROGRAMACIÓN DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;1
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICO PROFESIONAL EN PROGRAMACIÓN DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;2
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICA PROFESIONAL EN PROCESOS DE SEGURIDAD Y SALUD EN EL TRABAJO;Ciencias de la salud;Presencial;Hombre;2021;1;5
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICA PROFESIONAL EN PROCESOS DE SEGURIDAD Y SALUD EN EL TRABAJO;Ciencias de la salud;Presencial;Hombre;2021;2;7
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICA PROFESIONAL EN PROCESOS DE SEGURIDAD Y SALUD EN EL TRABAJO;Ciencias de la salud;Presencial;Mujer;2021;1;37
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TÉCNICA PROFESIONAL EN PROCESOS DE SEGURIDAD Y SALUD EN EL TRABAJO;Ciencias de la salud;Presencial;Mujer;2021;2;20
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;1;10
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2021;2;1
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;1;1
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;Institución Técnica Profesional;Pereira;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2021;2;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;1;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;2;37
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;1;17
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;2;64
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;1;16
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;2;22
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;2;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;1;9
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;2;17
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;1;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;2;30
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Presencial;Masculino;2022;2;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Presencial;Femenino;2022;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Presencial;Femenino;2022;2;26
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;1;34
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;2;92
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;1;9
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;2;23
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;1;18
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;2;68
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;1;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;2;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;1;45
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;2;104
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;1;38
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;2;124
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;1;14
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;2;65
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;2;8
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;2;20
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;2;14
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Masculino;2022;1;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Masculino;2022;2;16
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Femenino;2022;1;17
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Femenino;2022;2;36
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRONICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;1;9
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRONICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Masculino;2022;2;22
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRONICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRONICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Femenino;2022;2;3
